date,freq
2015-05-03,1
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,1
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,2
2015-07-26,2
2015-08-02,2
2015-08-09,2
2015-08-16,2
2015-08-23,2
2015-08-30,2
2015-09-06,3
2015-09-13,3
2015-09-20,3
2015-09-27,4
2015-10-04,5
2015-10-11,5
2015-10-18,6
2015-10-25,8
2015-11-01,13
2015-11-08,17
2015-11-15,20
2015-11-22,28
2015-11-29,44
2015-12-06,49
2015-12-13,56
2015-12-20,100
2015-12-27,15
2016-01-03,6
2016-01-10,3
2016-01-17,2
2016-01-24,2
2016-01-31,1
2016-02-07,1
2016-02-14,1
2016-02-21,1
2016-02-28,1
2016-03-06,1
2016-03-13,1
2016-03-20,1
2016-03-27,1
2016-04-03,1
2016-04-10,1
2016-04-17,1
2016-04-24,1
2016-05-01,1
